,charge,anodic_d_peak,cathodic_d_peak,anodic_peak,cathodic_peak,delta_anodic_cathodic_V,delta_ano_cat_A,concentration(ng_L)
0,350.06040963325404,574.5492846987544,-776.7273776304543,82.78919,-121.886,0.1836729,204.67519,600.0
1,316.9956223320487,595.7346787534425,-736.288308367021,84.18736,-114.475,0.1996452,198.66235999999998,1000.0
2,375.52047415985,566.0882231697997,-792.9627713767617,82.22851,-122.168,0.17768399999999998,204.39651,1200.0
3,116.02993937165638,631.5171410969641,-783.2588565572917,90.86034,-128.999,0.2156169,219.85933999999997,2000.0
4,301.4674233672554,594.7175610858193,-806.6429168658838,87.18122,-129.212,0.1936555,216.39321999999999,2500.0
5,328.47210716445943,672.2208342665612,-846.8462862593256,100.9126,-144.543,0.22959149999999998,245.4556,4000.0
6,245.69118369867556,678.0410414106952,-891.4437764870283,103.6226,-153.795,0.22759496,257.4176,5000.0
7,129.085015195074,745.3953413465669,-919.3760186117247,112.3159,-159.366,0.23757769999999998,271.68190000000004,10000.0
8,239.72797312048442,776.4048298196293,-953.9449114437518,118.7837,-169.49,0.2415708,288.2737,20000.0
